quality_of_some_random_wine,ph_of_some_random_wine,density_of_some_random_wine,random_year,random_day,volume_disney_stock_traded_on_day_of_year,name_of_random_vegan_restaurant,city_of_random_vegan_restaurant,pricerange_of_random_vegan_restaurant,random_basketball_team,region_of_random_team,seed_of_random_team_in_year,text_of_random_book_review
6,3.52,0.99045,1995,05-15,4150500,Natural Blend,Brooklyn,,North Carolina A&T,East,16,"This book by Ms. Gruen is truly wonderful literature, not simply a story. The story is wonderful, but the methods she uses to weave the human existance into it is simply breathtaking. If you do not like to cry after reading a book, I recommend you avoid it. The bittersweet human connection in this book is outstanding and she has truly captured circus life in the depression years as no other book has ever done. A truly wonderful read."
6,3.26,0.9911,2004,02-06,10142400,Village Inn,Canoncity,$$,Northern Iowa,Midwest,14,"An interesting premise, Water for Elephants: a melodrama that takes place in a traveling circus during the first half of the last century. Throw in forbidden love, an abusive husband, murder, and a few other plot twists, and you're assured a best-seller followed by a Hollywood movie with a topnotch cast.I went to the circus as a boy; I never wanted to run away with it, but I enjoyed it; then again, I never feared clowns.I've had Water for Elephants on my reading list for more than a year; it was highly recommended to me but it just kept getting pushed down on my reading list. Finally, with the movie due out, I opted to make reading it a priority.I won't say I didn't enjoy it, but I can't say either that it's deserving of all the accolades it's received. Author Sara Gruen obviously had a passion for the circus, as evidenced by the research that went into this piece and the period.Normally I enjoy melodramas--Victor Hugo's Laughing Man comes to mind. But Elephants, for some reason I can't quite put my finger on, just missed.Maybe it's just me. Some call Romeo and Juliet the greatest love story ever written. I happen to think it's the most overrated piece of literature ever penned. I mean, come on, Romeo falls instantly in love with Juliet the first time he ever lays eyes on her, and only after they part does he realize he forgot to ask her for her name. Can true love be founded on such a shallow premise? No, he's just reacting to hormones. It's young love, which is not really love at all, merely lust.At first I thought it was because Ms. Gruen wrote the piece from the perspective of a male protagonist, and like a lot of cross-gender writing, it somehow lacks a certain authenticity. But Jacob is a likeable enough young man, flawed; recently orphaned, he joins the circus to what we in the 21st century would say, ""Find himself."" He certainly is attracted to Marlena, initially, for all the reasons a 20-year-old young man would be: she looks great in her pink sequined riding costume.But it wears old after a while--we want to see a relationship grow between them. What the story reveals is that Marlena, married, suffers from Battered Woman Syndrome. Her husband is mentally unbalanced and jealous to the point of insanity. He accuses her of infidelity with Jacob even though nothing has happened--except in their own mercenary hearts.Well, we were ready to impeach Jimmy Carter for admitting he'd lusted after women in his heart. Even the bible teaches that if your thoughts are impure, if you're unfaithful in your mind, you're just as guilty as if you'd committed the act. But nothing has happened between these two innocents except a shared kiss. But because her husband is such a beast we accept that it is okay and feel sympathetic toward Marlena since she is committed to make it work with her unbalanced husband because her parents previously told her, when she wanted to come home after admitting to them the marriage had been a mistake, that she had to lie in the bed she'd made.Yet I found neither Jacob nor Marlena very sympathetic; neither character was very memorable, even if the writing was sharp, crisp and authentic to the period. My sympathies lay with Rosie, the poor elephant who suffered such abuse at the hands of Marlena's husband she, the elephant that is, eventually killed him.Now that I've had more than a week to think about Elephants, to capture what seems to be an elusive reason for my indifference to this book, it occurs to me that a lot of books these days are written in this fashion, they expect the reader to connect with the character in their own way.I understand what that means and I don't disagree with it--until it's taken to an extreme and I'm presented with cardboard characters, caricatures.I want to connect with characters, not become them. I want to see how others respond to adversity. I can always later compare what I would've done, how I would've thought, were I in those circumstances.I guess, in the end, that's what was missing for me in Elephants: I just couldn't connect with Jacob or Marlena.Or, maybe at my age I just don't get young love anymore."
5,3.15,0.9936,1992,08-10,1938600,Subway-liberty,Luray,,West Virginia,East,12,"Loved the book, the setting reminded me of the HBO series Carnivale. Read the book in one day because I could not put it down."
7,3.14,0.9934,1986,12-18,6402800,Mizuna,Spokane,USD 10 - USD 36,Brown,East,15,"I have read the prior three novels in O'Brian's masterful Aubrey/Maturin series, and thought the first three were uniformly excellent. After a layoff, I returned to the series and while I enjoyed The Mauritius Command, I thought there was somewhat of a slip from the first few books of this 20 novel series.The novel opens promisingly, with Aubrey suffering in a less-than-ideal domestic situation. His mother-in-law lives with Jack, his wife Sophie and their cranky daughters, and his efforts to manage a farm are comical in his ineptitude. When Maturin visits, and Aubrey tries to show him around and put a brave face on his domestic struggles, the comedy inherent in O'Brian's writing comes shining through. While Jack (and the reader) itch to get to sea, it is there that O'Brian seems to lose control of the story.Aubrey gets an order to go to the Cape of Good Hope, where he is sent on a mission to dislodge the French from the Mauritius Islands and help set up a British Colonial Governor by the name of Farquar. As is usually the case, despite great achievements in the past, Jack is shackled and insufficiently rewarded by his superiors in the admiralty, and his supposed connections, through his father in the Parliament, are of little help.O'Brian seems to assume a good bit of nautical knowledge by the reader, and this landlubber sometimes got a little lost in the naval warfare scenes. The most engaging aspects of the novel seemed to me the differences in character, and the seething one-upsmanship among the various ship captains under Jack's overall command including Captains Pym, Clonfert and Corbett. The problem was, just when the author whets your appetite for some great internal conflict or drama between the brutal Corbett and the popular Clonfert, Corbett is sent from the area.Moreover, the final battle scenes are almost thrown together in summary form, as if the culmination of the mission did not really concern O'Brian as much as the hassles of getting there, and so there was a bit of a letdown at the end. I look forward to the next novel (Desolation Island I think), but have to be luke-warm in my praise of this one. I give it a fairly generous 4 stars, 3 and 1/2 if I could."
6,3.36,0.99332,1994,04-11,2716500,House of Kobe,Merrillville,USD 25.00-40.00,Western Kentucky,Midwest,11,"Quite delightful - for all ages, teens, and adults - - - a good book to give as a gift - a surefire read. Barbara Pontecorvo"
6,2.96,0.99518,1997,01-27,4942900,A Shambala Bakery Bistro,Sedro Woolley,,Temple,Midwest,9,"I've just finished reading ""Without Remorse"" and greatly enjoyed learning more about the character John Kelly, AKA John Clark. The story is set in 1970 during the height of the Vietnam Conflict, and John Kelly is trying to re-establish a life outside of the armed services after several life shattering tragedies. Despite finding some civilian friends, Kelly is largely angered and aloof from life and all it's unfairness. He finds purpose in life by taking matters into his own hands to punish evil-doers both here stateside and once again is the jungles (or is it rain forests?) of southeast Asia.This book was published in 1993 and will remain a timeless Clancy masterpiece."
6,3.3,0.99151,2018,05-31,9620000,Vegeria Vegan Tex-mex,San Antonio,$$,Michigan,West,3,"It has been a while since I read this, but remember it as a great story with action, love and experience in this occupation."
5,3.05,0.99754,2018,07-02,5488900,Smoothie King,Wichita,,Loyola Chicago,South,11,"Let me start by saying that I respect Mr. Robinson for tackling the huge task of describing the colonization of Mars in such exquisite detail, and from so many different angles. We haven't discussed the book in my reading group yet, but I think that the book raises a lot of good points for discussion (i.e. &quot;would we have done X this way? Would there be alternatives?&quot;).My biggest complaint with the book was his rambling ad infinitum about the Martian land features. I honestly believe that the book could have been 150 pages shorter, and equally enjoyable to me if he'd have left out most of this. In fact, it appeared to me that characters made often seemingly pointless treks around Mars just so the author would have a reason to describe each area. I think I may have been so put off simply because I have absolutely no interest in geology, but the other people in my reading group felt pretty much the same way. This was my only real complaint with the book, but it was such a complaint that I docked it two stars.Overall, I'm pretty sure I wouldn't have given the book a Nebula award, but barring the complaint above, I found it to be very thought provoking, and I look forward to discussing it with my reading group. However, I did not like the book well enough to read Green or Blue."
6,3.34,0.9973,2017,03-02,4715600,Uncle Bill's Pancake House - Stone Harbor,Stone Harbor,,Cincinnati,South,6,"Okay, first of all, before you read this book, dont get your hopes up and await a book about constant military garble. This book is unlike any Tom Clancy book I've read-it is a moralistic thriller. If you are interested in books about the salvation of prositutes, and a man destined to avenge the death of his girlfriend, read this book. But, if your looking for a book about Jack Ryan, espionage, huge military conflicts and other &quot;vintage Clancy&quot; literature; I doubt this book is for you. I hope that Tom's next book- &quot; The Bear and the Dragon&quot; is better than this..."
6,3.04,0.9973,1994,03-02,3096700,La Botànica,San Antonio,,Western Kentucky,Midwest,11,"So... when's this frickin series going to get some closure Mr. Martin?? He better write another one because it's driving me nuts not knowing what's going to happen next.I also wanted to say that this book is a lot slower than book 4. In book 4 it seemed like something crazy happened at the end of each chapter. In this one there was a huge lead up and then nothing happened...wtf? That being said, if you read and liked the first four like I did, you pretty much have to read this."
5,3.5,0.99554,1990,03-07,4865900,Baba Ghanouj,Milwaukee,,Kansas St,Midwest,11,I loved it... just hard to get started. Diff. from what i normally read. LOVED IT!! It was a quick read once i got started.
6,3.31,0.995,1992,01-28,20196400,Magpie Cafe,Portland,,Florida St,West,3,"This novel is written in the first person by the queen, who bluntly acknowledges her failings and records her regrets about what she might have done differently.One of the most well written episodes in the novel is that in which Marie Antoinette attempts to escape France incognito in a lavishly equipped, outsized vehicle known as a berlin. We share the queen's frustration and regret that she chose such a conspicuous, high-status vehicle, especially when she tells us that her brother-in-law picked a shabby carriage for his own (ultimately successful) escape. Our frustration mounts as the party of escapees makes blunder after blunder, such as missing connections and stopping to let the royal children stretch their legs. At the same time, though, even as we readers know the attempt is doomed, we find ourselves hoping, against all logic, that it succeeds after all.My only real dissatisfaction with this novel came from the limitations the first-person narration imposed. I would have liked to have read more about what was going on outside Marie Antoinette's chambers, to learn more of what was taking place in the minds of the people around her. All in all, though, this is a historical novel well worth reading."
7,2.99,0.993,2007,11-21,8661400,Rocco's Pizza,St. Paul,,Davidson,Midwest,13,A lovely easy book to read. Good story. Makes one think about how we treat our elderly and would we want to be set aside like this. Like happy endings too!
5,3.61,0.99243,1986,04-15,8897200,Samosa Indian Vegetarian,Philadelphia,$$,Arizona,West,9,"This was an excellent book, and revealed the helplessness of people during the depression years when there were no jobs and they had to accept terrible working conditions and cruel employers."
6,3.57,0.9902,1999,03-30,6015400,Moloaa Sunrise Fruit Stand,Anahola,,Detroit,South,12,This is a different story line than I'm used to reading but it was very interesting. I read it in about a week. I then gave it to my mom to read and she enjoyed it also. Interesting take on circus life.
6,3.47,0.99713,2006,05-10,21407000,China Lau Restaurant - Closed,Springvale,,Bucknell,West,9,"As a child in Memphis, Tn., the most exciting time in my childhood life was when the days the circus came to town. My father loaded me, my two brothers and my sister into the car and off we went to the Clyde Beatty circus under the big top. Water for Elephants brought these memories back as though they were yesterday. I read the book over a 3 day period and really enjoyed it. It's a terrific story that I would recommend to all my friends."
5,3.36,0.99546,1993,09-02,2829300,Paul and Elizabeth's,,USD 0.00-25.00,Xavier,Midwest,9,"I loved this story. The film prompted me to purchase it and I'm glad that I did. It didn't garnish rave reviews, but I think the film did the book justice."
5,3.26,1.0004,2003,03-14,8425900,Ozu,New York,USD 50.00-55.00,Missouri,Midwest,6,"Water for Elephants by Sara Gruen is one of my all-time favorite books! The story is told by an old man looking back on his life in the circus during the Great Depression. As a young man he joins the circus after his parents died in a car accident. There he discovers a whole new and strange world in the small traveling community. He learns the hard work involved in the back scenes of a circus, as well as the harsh and sometimes tragic lives of the workers. It isn't long before he falls in love with the beautiful Marlena, one of the star performers. Things are complicated though. She's already married to the controlling and cruel head animal trainer.Get ready to cheer for the hero, boo the villain and ooh and ahhh at the story that draws you into a bygone time and place. It's a memorable book that will stay in your heart a long, long time."
5,3.03,0.99356,1993,09-22,9920800,Tender Greens,Culver City,,Nebraska,East,10,"I was hooked from the beginning and looked forward to coming back to the story each time I had to turn off my Kindle. Coming of age in a circus might seem cliche yet the insiders view of the social dynamics that existed within a circus really put context around the whole ""running away to join the circus"" thing; although, in this case, it might be more apt to describe this as ""stumbling into the circus"". Regardless, while I felt the end of the circus component of the story was somewhat predictable, it didn't spoil the story for me. A truly remarkable story that I will enjoy again and again."
6,3.22,0.98945,2000,11-08,3871200,,Lancaster,$$,Tulsa,South,7,"This book is poetic myth,a work of beauty,whose every word drips a truth,and a thought of knowledge.Reading it is like swimming in realitybut a reality I have not known,till now.Kahlil Kahlil Gibran knew something we did not,he shared a bit of the wonder of simplicity.Though this is merely the preaching of a Prophet,Gibran is able to turn it into story,and I feel from the gut for all the characters.The Prophet is unsurpassed in form,in content best when speaking of beauty,in ways I had never known,and weakest when speaking of prayer.Certainly Gibran relies on the story of Jesus,and throughout there are allusions to his wordsand actions.But this is a new prophet,who speaks the words of old,though it be in new wineskin."
5,3.25,0.99271,1988,11-10,2593000,The Pie Pizzeria,Salt Lake City,$$,Kansas,Midwest,6,"This first book of Robinson's massive three-book epic is the interesting one. The first book is about the journey, travelling on Mars, exploring, technology, and the like. The political struggles and interpersonal intrigue have started but this book doesn't rest on them. I wouldn't say that Red Mars is a &quot;page turner&quot; but at least it isn't a &quot;page flipper&quot; like (to me at least) the next two.Red Mars starts out being a hard SF tech novel but by the time it's done it has mutated into a mostly political work that could just as easily be written about (somewhat incestuous) neighbors wrangling for control of your own subdivision's community association. That trend continues in the later books, where the technology becomes a sort of background murmur and most of the text is devoted to longwinded and somewhat distant arguments.Enjoy Red Mars for the not terribly intimate and moderately bloated saga of planetary exploration and development that it is. But don't expect as much from the later books. They're suitable for stuck-on-an-airplane-with-six-hours-to-kill reading but not all that exciting otherwise."
5,3.44,0.99737,2016,11-30,11369200,Pizza Ranch,Akron,$$,Butler,Midwest,9,Water for Elephants is the definitive novel on love and compassion in the midst of unspeakable pain and despair. It is on my list of five best and most unexpected endings mainly for the secret that Jacob keeps his whole life. There are so many incredible little secrets about life in this book just waiting to be discovered. The plot is riveting. It's an incredibly fast read and it is truly as magical as a circus.
6,3.16,0.9921,1992,05-18,9444400,,Savannah,,Memphis,Midwest,6,What a gem! Really enjoyed this book... so much that I'm having a hard time picking my next book for fear it wont be as entertaining as this one was.
6,3.19,0.99734,1988,03-24,5579000,Wrap and Roll,Driggs,,Michigan,West,3,"Like many readers, I was smitten with the world Martin created inA Game of Thrones (A Song of Ice and Fire, Book 1), was caught up in the vivid showing of the battles and the intrigue inA Clash of Kings (HBO Tie-in Edition): A Song of Ice and Fire: Book Two, and was impressed by his ruthlessness towards his characters inA Storm of Swords (A Song of Ice and Fire, Book 3). As with many readers and fans, I cut Martin some slack inA Feast for Crows (A Song of Ice and Fire, Book 4)- the storyline was just too big, apparently for a single book. A rationale I thought reasonable, and although the storyline moved at a glacial pace, I had high hopes for some resolution of loose ends from Book 4, and some forward movement in _A Dance with Dragons_. Were that it was so. _A Dance with Dragons_ was in many ways, an utter disappointment.That is not to say I found Book 5 a total bust. To avoid spoilers, I'll write in broad terms. I did like the wider sense of geo-politics Martin develops here, as the conflict in Westeros has ramifications in the Free Cities and Valyria. It was a relief to see the storylines that had diverged in _A Feast for Crows_ again rejoin each other, and readers are given a longer perspective of the political web that ""the game of thrones"" is: princes thought long dead instead found in hiding, old alliances and old rivalries between noble houses uncovered, details of storylines from the first four books (particularly around Daenyrs) brought to light. In a perverse way, I also liked the lack of resolution of some of the story lines: tantalizing clues left about what will happen with Daenerys, Arya, the dragons; characters in difficult situations that I am anxious to see solved: Jon on the Wall, Bran Beyond the Wall, and Jamie and Brienne in the Riverlands. As much as I enjoyed this, it was not enough to earn more than a mediocre review.There are many more points that I take issue with than there are redeeming features. First is the geologic pace at which the story moves. At just under 1000 pages, I had expected more forward movement of the plot. This did not happen. Stannis remains in the North. Daenerys remains in Slaver's Bay. Tyrion, for much of the story, is at sea - and so on ad nauseum with all the characters. Books One and Two moved much more quickly, and which I liked much more.. Perhaps juggling 23 story lines has simply become untenable for Martin to maintain. Another issue I had concerned the changes in authenticity of several of the characters. While I recognize characters do (and should) change across the story line, Martin has several of his characters take almost 180 degree turns from who they were in the first four books - especially Jon (""The Night's Watch takes no part in the wars of the Seven Kingdoms"") and Tyrion. I also expected at least some sort of ""chekcing in "" with other characters from _A Feast for Crows_ would happen once the storylines from Book 4 was reunited in Book 5 - specifically the happenings and goings on of Sansa and Samwell Tarley. It looks like readers will have to wait for the next installment to see what these characters have been up to. In a similar vein, Jamie was hardly mentioned at all.The divergence of story lines between Books 4 and 5 was a challenge as well. As a relative new comer to the series, I had the advantage of being able to read the books more or less concurrently (I pity those who had to wait over four years between books), but even then I frequently found myself going back to _A Feast for Crows_ to reacquaint myself with characters and their stories that I had fogotten all about, it having been 500 or 600 (or, in the case of Daenyrs) almost 900 pages since last they were a part of the story. Some sort of prologue (other than the pointless prologue involving Wargs and apprentice maesters) recaping the story thus far would have been helpful, I think.As much as I am tempted to give _A Dance with Dragons_ a one-star rating, I can't. This is a work in progress - I remain hopeful that, once the ""Song of Fire and Ice"" is completed, my objections and complaints will be inconsequential. While I remain frustrated that the story has moved so little over the last two books, I also remain optimistic that there will be a payoff in the book(s) to come. Those expectations aside, for a 1000 page investment in reading, there is precious little payoff for audiences here."
6,2.97,0.99712,1990,09-05,4407200,Mominette Mominette,Brooklyn,$$,Virginia,Southeast,7,"I read Winds of War as well as War and Remembrance 30-something years ago, and ever since have felt that they were the best, most compelling books I had read in my life. That's never changed, despite having read hundreds of books since then. So I put Winds of War on my Kindle and am rereading slowly, savoring each chapter this time through.If you haven't read them, do so. You won't regret it."
6,3.41,0.99643,2014,03-19,6403200,Zpizza,Reno,,Manhattan,Midwest,13,"I liked the story because it was different than other books I have read. The setting, characters, and plot were unique and very interesting. I liked how the story was told from both the older and younger Jacob's point of view."
6,3.26,0.98889,2000,01-27,9821500,Taco Mayo,Vinita,$,Oklahoma St,East,3,"Actually, come to think of it, my time would have been better spent staring at an hourglass. This book was a soap opera in print. The characters were mostly stereotypical, ergo predictable. I don't think giving the ending away in the prologue was such a great idea, because I spent the next 330+ pages waiting for something (anything!) to happen in that vein. Instead I found myself wading through pages of the author describing events such as tent raising, etc.. The romantic scenes were very campy. During the first several chapters when the book's format became aparent, I thought it was very fascinating to have the elder scenes interspersed with the circus scenes. It turns out that they didn't add much to the story, or even make me want to keep reading. The writing in the elder scenes was amusing, and soon those chapters became my reward for reading the cirucs chapters. The ending was perhaps the most aggravating aspect of this book. Something about Gruen's description of circus life and all its attendant characters makes me think it highly unlikely that a modern-day cirucs manager would embrace a decrepit old man and rescue him from life at the rest home. Maybe it was all those descriptions of redlighting we were given...I'm not sure. All said, I enjoyed Gruen's writing style, but I would have enjoyed it much more telling a story with some substance."
6,3.39,1.0004,2016,01-25,7812200,Village Inn Restaurant and Bakery,Clearwater,,Arkansas Little Rock,Midwest,12,Clancy is one of my favorite writers and he did not disappointment
7,3.16,0.98968,2015,04-23,5983800,Lucky Creation Restaurant,San Francisco,USD 0.00-25.00,Wofford,West,12,"This was an excellent book, and revealed the helplessness of people during the depression years when there were no jobs and they had to accept terrible working conditions and cruel employers."
6,3.08,0.99041,2004,11-19,9301000,Local Jonny's,Cave Creek,$$,Utah,Midwest,11,"Ninety-three year old Jacob Jankowski, now living in a nursing home, reminisces about the summer of 1931 which he spent with the Benzini Brothers circus. The inner workings, relationships, conflicts of circus life are so well described in this novel with such interesting detail, you really feel like you are there. Following the events of Jacob's life made me laugh and cry. I really loved this book and am looking forward to seeing the soon-to-be-released movie."
4,3.16,1,2003,02-03,6314500,Panchero's,Milwaukee,,Utah,Midwest,9,Once you start you can't stop! I devoured this book as fast as I could. Even when I wasn't reading it I was waiting until I could again. Fantastic story.
6,3.17,0.993,2006,08-15,7613400,Lovin' Oven,Frenchtown,,George Mason,East,11,"You will be glad you read this book before the movie, even if the movie is true to it in detail. Few movies do their masterpiece books justice, and this book is a masterpiece."
5,3.18,0.98876,2007,10-02,9403000,Golden Mean Vegan Cafe,Santa Monica,USD 25.00-40.00,North Texas,South,15,"I first stumbled across Gibran in a quote a firend shared with me while I was going through a divorce. The quotes on Pain, Joy and Sorrow, and Love became touchstones. This is a very touching perceptive work."
6,3.52,1.0001,2012,11-29,7232200,May's Vegetarian Cafe,Houston,,Connecticut,South,9,Excellent book!! There is a touch of Khushwant singh's prose history narrative (check out Khushwant Singh's Delhi). Good quality and such books become a lifelong collection to be read again and again.
7,3.15,0.9903,1989,10-02,7458900,,Atlanta,$$,Siena,East,14,"I have had this book for some time now and still have yet to finish it. Everyone raved about how good it was but I found it hard to get into - however, keep in mind I'm not an avid reader so it has to be pretty interesting to keep me involved."
4,3.13,0.99215,2006,07-28,14858400,India Mahal,Tacoma,$$,Southern,South,16,"The opening of THE MAURITIUS COMMAND finds &quot;Lucky&quot; Jack Aubrey married, poor, and bored. He is without a command, on half pay, and doing no more than tinkering with his telescopes. Happily, his particular friend Stephen Maturin comes bearing glad tidings: an assignment leading an expedition to capture the French-held islands of Mauritius and La Reunion just east of Madagascar.Unlike the previous novels, where Jack commands a vessel usually unattached from joint maneuvers, he here commands several ships. Unfortunately, the Commodore (as Jack is temporarily called) has a problem: the captains of the three primary ships are troublesome. Lord Clonfert nurses a long held jealously of Jack's fame and success, and has a tendency for self-promotion and showmanship. Pym is solid, but in the end lacks judgment in battle. Corbett is the polar opposite of Jack in regard to discipline. While Jack believes in discipline, he staunchly believes that brutality and frequent punishment is both cruel and counterproductive, leading to an unhappy ship. Corbett, on the other hand, is a savage disciplinarian, and keeps his crew on the edge of mutiny.All of the novels in the series have their unique appeal, and this one delights in its chronicling the course of a single campaign, a campaign that O'Brian notes is based quite closely on real events. The novel is also superb in its setting in a locale of which most readers will be utterly unfamiliar. It is also fun because more than in the previous novels, Stephen Maturin plays a more prominent role as an intelligence officer, and his work on the islands in fermenting rebellion against the French is as crucial as Jack's role in leading the military expedition.I would caution anyone tempted to read O'Brian to start with the very first novel and work from the first to the last. I deeply love these books, but they do not stand alone."
6,3.16,0.99711,2001,05-01,4181700,Qdoba Mexican Grill,Lancaster,,USC,East,6,"One of my favorites heroes, besides Jack Ryan, in Tom Clancy's books is John Clark. He is a dark figure with a mysterious past. He's a man admired for his action and his word. He works in black ops but has his own moral code. Clark is a man of action. This book essentially covers Clark's past. His girlfriend was murdered by Baltimore drug dealers who raped her while slowly asphyxiating her with a plastic bag. A horrific death that profoundly affects Clark. But he doesn't mope nor sit idly by. This ex-SEAL sets out upon a course of justice. He dispenses justice in the only way these murderous scum understand - by executing the drug dealers who peddle their death and addiction to adults and children. Clancy uses the story to give us greater backstory on Jack Ryan. His father, Emmet Ryan, is a detective trying to track down the killer of these drug dealers. But Clark keeps moving forward `Without Remorse'."
7,3.25,0.9929,1988,05-27,1842200,8 Port Coffee & Tea,Boulder,,Chattanooga,Southeast,16,Had not gotten around to reading the book when I had the opportunity to see the movie. I doubt I'll ever bother to read this one. Wasted money on it too as most of my downloaded books are free. Choose wisely.
5,3.44,0.9982,1993,12-30,2772100,Taco Maker,Ogden,,Kansas,Midwest,2,"This book was recommended to me by a friend. I bought it for my Kindle, but it sat there for months as I wasn't in my ""literary"" phase. I finally decided to give it a go, and was so incredibly surprised! I LOVED this story! It was filled with so many emotions and the characters are depicted in such a vivid fashion, I could picture them so clearly! They stayed with me for quite some time after completing the book and that rates VERY high with me. I even got my husband to read it and he loved it as well. I really couldn't put it down until I knew just what happened to everyone....and the ending? AMAZING!!!! I cried in joy, fulfillment, closure and sadness! Wonderful read!-Just My Opinion [...]"
5,3.09,0.99685,2005,02-24,8556400,Black Angus Steakhouse,Jensen Beach,,Georgia Tech,West,5,I'm going to be short and sweet about this book. It's wonderful. I couldn't put it down. It's one of the best enjoyable reads I've had in a long while.
7,3.09,0.9932,2000,04-06,3616600,Maimonide of Brooklyn,Brooklyn,USD 25.00-40.00,Auburn,Midwest,7,"Once again Martin has taken the reader on a journey full of murder, mayhem, war, and dragons. We are introduced to new and old characters that further explain where this saga may or may not end. His writing continues to astound me as the story unfolds, and why am I not surprised at his need to further kill off characters we readers have grown fond of. I cannot wait to see how this all ends up. Please hurry Mr. Martin and show us the next installment of Game of Thrones. Who will win the Game?"
5,3.15,0.9957,2014,09-02,5602000,Liberty Tax Service,Richton Park,USD 0.00 - USD 25.00,Kansas St,Midwest,9,"It took me an awful long time to read this book. I'm not the fastest reader though. I usually only read right before bed and on my lunch hour. Can't get through a lot of pages that way. And this book is looooooooong, but it's oh-so good. The author does such a great job describing scenery, clothing, foods, smells, that I could really picture everything. I love that about this author, there are pages and pages of description. I know the show is a different animal, but I cannot wait to see which parts are used in the show and how they are adapted for cable tv."
6,3.31,0.9964,2005,05-10,5370500,Brü Chicago,Chicago,,Chattanooga,West,15,"I started reading the books last summer, and was quickly hooked. Im glad I didn't have to wait six years for this one like some people did. Now that I read it, I understand why many were disappointed. Its rather a bloated book. For one thing there is way too much description of family shields, clothing worn, and Westeros history - descriptions that if you read the previous four books, you already know for the most part. Way too much time was spent describing the various difficulties in traveling; yes, we get it, people get seasick a lot. Is it necessary to describe it each time it happens? The sections that take place off Westeros included way too many characters to keep track of. I found myself bored often and skimmed most of these sections (tho the part where Dany finally gets to fly was breathtaking). I also had trouble with the timeline - just how much time has passed here, and just how old are some of these leaders? Are Dany and Jon really only 15 or so? No wonder things are so screwed up. I did enjoy reading about Bran and Arya, but then they were sort of dropped and never heard of again. I loved that Cersei finally gets whats been coming to her for a long time, and loved Tyrion, as always. But he sorely needed an editor in this book, more so than any of his other books in the series. If it had been tighter narrative, this easily could have been a 4 star.That all being said - this was another page turner. I was hooked from the beginning, and while there were some sections I skimmed through, the story certainly kept my attention. As usual, he is a genius in characer development, and in showing the different facets of each character. I also appreciated of the new maps, but I wished he had made a character list in abc order, instead of by families, for easy reference. Hoping the next book happens soon, with tying up"
7,3.06,0.9914,1988,01-14,3175800,Tubby's Grilled Submarines,Madison Heights,,Vanderbilt,Midwest,7,"Patrick O'Brian is one of the greatest writers ever! The entire Jack Aubrey & Stephen Maturin series (all 20 books) are a delight from start to finish, and a literary masterpiece. We read them over and over again."
6,3.19,0.9894,2018,09-17,5592900,Randita's Organic Vegan Cafe,Aspinwall,,Syracuse,Midwest,11,Very interesting history of circus life. Could not put this book down. Wonderful story filled with flashbacks of circus people and environment.
6,3.49,0.99035,1996,02-23,5581700,The National Action Network,New York,,Iowa St,Midwest,5,Loved the series overall but this book seem to be different. It was dark and brutal almost all the way through unlike the others books which had more lighter everyday parts.
5,3.2,0.997,2017,01-06,9551300,Jimmy John's,Bowling Green,USD 0.00-25.00,Gonzaga,Final Four,1,A lovely easy book to read. Good story. Makes one think about how we treat our elderly and would we want to be set aside like this. Like happy endings too!
6,3.31,0.99862,1997,04-11,5240400,The Groovy Smoothie,El Paso,,Iowa St,Midwest,6,"This ""coffee table"" book literally sits on my coffee table. Every member of my family looks at it just about every day -- we are constantly showing each other the pictures. It shows an amazing variety of moments from an amazing country. It draws you in, and every time you look at it, you see and learn something new. I highly recommend this book. I am thrilled with it."
4,3.26,0.9963,1985,03-05,5115400,A N D Café,Portland,USD 25.00-40.00,UTEP,West,11,"I hate not finishing a book that I've started, but in the case of this incredibly long, drawn-out, and boring novel, I had no qualms whatsoever. The characters are as unsympathetic as they come, with the 2-D Maria who has probably never entertained a thought in her head, she is so stupid and empty, except to please Robert Jordan, who spends hundreds and hundreds of pages just thinking random thoughts, and walking from place to place. I thought that Anna Karenina was long and drawn out, but even at 800 + pages that book was less drawn out than this wprthless piece. It was completely unnecessary for it to be so long--one of Hemingway's short stories, about an old man on a bridge during the spanish civil war, at less than 3 pages is ten times more movign and poignant than this book. And it doesn't even really paint the Spanish civil war all that well--if you really want a glimpse of what it was like, go rent and watch the classic movie ""La lengua de los mariposas"" or ""Butterfly"" in English, which will give you a better idea and much mroe enjoyment at the same time. This book also isn't really that action-packed at all for a war book--I'd say fighting and battle takes up maybe two-fifths fo the book at the most, it's mostly just talking, long stories, long ten page thought streams of RJ, or just walking from place to place, describing things with some of the longest run-on sentences I've ever seen (anyone who tells you that Hemingway's style was just short and simple sentences is full of it in regard to this book).In short, this book is not worth your time--read one of Hemingway's short stories if you must, but not this long, drawn out, boring yarn."
